id,名前,規格,入値,在庫数,小計
441,3Aマグネシア,90錠,660,1,660
228,アイ浄綿,14包,100,2,200
319,IPOSHスプレー,400ml,679,3,2037
526,IPOSH詰め替えパウチ,400ml,620,2,1240
493,青汁マルチビタミンボーロ,18g,21,40,840
170,アクチビア軟膏,2g,600,1,600
595,ｱｸﾃｨ流せるおしりふき,100枚,232,2,464
272,浅田飴　固形クールＳ,50錠,564,1,564
266,浅田飴　固形ニッキＳ,50錠,564,1,564
273,浅田飴　固形パッシヨンＳ,50錠,555,1,555
432,浅田飴ＡＺうがい薬,100ml,478,1,478
275,浅田飴咳止め　オレンジ,36錠,358,1,358
211,味の素　梅がゆ,250g,128,5,640
213,味の素　白がゆ,250g,128,5,640
212,味の素　玉子がゆ,250g,128,5,640
579,アトリックス　ハンドクリーム 缶　しっとりタイプ,178G,460,1,460
271,アネトン　せき止め液,100ml,690,1,690
270,アネトン　せき止め顆粒,16包,890,1,890
421,アネロン　ニスキャップ,3カプセル,227,1,227
36,アリナミンEXゴールド,45錠,2077,1,2077
590,アルコール配合除菌ウエッティー,12枚,133,2,266
32,アレグラFX,14錠,909,1,909
112,アレジオン20,6錠,1000,1,1000
163,アレルギール錠,55錠,490,1,490
604,アレルビ,56錠,711,1,711
478,アンメルツ温キューパッチ,48枚,301,2,602
42,イチジク浣腸30E,30g×2,169,2,338
41,イチジク浣腸10,10g×4,241,2,482
519,壱番屋　低糖質バターチキンカレー,150g,273,5,1365
161,命の母Ａ,84錠,490,1,490
537,命の母　ホワイト,84錠,680,1,680
263,イブＡ錠,36錠,594,2,1188
290,イブメルト,8錠,588,1,588
515,医療ガーゼ　ガーゼ10ｍ,30cmx10m,236,1,236
505,入れ歯洗浄剤ピカ,28錠,576,1,576
612,いわしで健康しょうゆ味,90ｇ,142,1,142
491,ウィスパーうすさら安心　120cc,24枚,754,2,1508
492,ウィスパーうすさら安心　20cc,32枚,420,1,420
615,ウィスパーうすさら吸水85cc,16枚,576,2,1152
80,ウィダーインゼリー　マスカット味,180g,132,2,264
276,ウェルウォッシュアイ,10ml,355,2,710
145,宇津救命丸　「糖衣」,150粒,844,1,844
132,ウレシオ,100g,177,1,177
440,エアーサロンパス　ジェットα,25ml,346,3,1038
424,液キャベコーワＬ,50ml,249,2,498
632,液体ムヒアルファEX,35ｍL,742,1,742
120,エクエル,112つぶ,3158,1,3158
128,エクエル　パウチ,120つぶ,3158,4,12632
320,エクオール検査,1個,2634,1,2634
203,エスタックイブファインＥＸ,12錠,652,2,1304
542,えび塩雑穀せんべい,88g,216,5,1080
288,エルペインコーワ,12錠,544,2,1088
1,オーエスワン（OS-1）,500mL,130.54,17,2219.18
102,オーエスワンゼリー,200ｇ,130.5,6,783
531,オイラックスA,10g,538,1,538
530,オイラックスソフト,16g,683,2,1366
70,おう吐物処理キット,1,764,1,764
45,太田胃散,16包,401,1,401
594,大判やわらかｼｰﾄからだふき,60枚,167,3,501
60,オキシドール,100ml,50,1,50
523,お薬カレンダー（M）,M,900,4,3600
8,お薬飲めたね　いちご,200ｇ,250,2,500
607,おくすり飲めたねスティックタイプチョコ風味,18gx6本,250,1,250
323,お口潤うジェル,80g,403,1,403
322,お口潤うスプレー,50ml,600,1,600
294,お口キレイスポンジ　星形,12本,211,3,633
324,お口みがけるマウスウォシュ,250ml,533,1,533
84,男の鼻コットン,30個入り,142,2,284
481,おなか活き活きビフィズス菌,1.5gx30本,1720,1,1720
503,尾西のエビピラフ,100g,304,3,912
621,尾西の五目ごはん,100g,272,3,816
504,尾西の山菜おこわ,100g,304,3,912
502,尾西の赤飯,100g,272,3,816
444,オブラート丸型,100枚,159,1,159
274,オムロン　手首式血圧計 HEM-6161,HEM-6161,5000,1,5000
265,オムロン　デジタル自動血圧計　HEM-1000,HEM-1000,10462,1,10462
577,オムロン上腕式血圧計　HCR-7106,HCR-7106,7100,2,14200
